,area,endereco,quartos,banheiros,vagas,preco,condominio,amenidades,cidade,data_scraping
517,130,"Rua Afonso Braz, 537 - Vila Nova Conceição, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,R$ 7.500 /mês,R$ 1.400,"Piscina
Churrasqueira
Garagem
Quadra poliesportiva
Cozinha
...",São Paulo,"September 20, 2021 16:25"
518,63,"Rua Ibirajá - Vila Nova Conceição, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.500 /mês,R$ 530,"Piscina
Elevador
Academia
Área de serviço
Interfone
...",São Paulo,"September 20, 2021 16:25"
519,53,"Rua Canuto Saraiva - Móoca, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,"R$ 1.850 /mês
R$ 400.000",R$ 518,Elevador,São Paulo,"September 20, 2021 16:25"
520,455,"Rua Antônio Carlos, 180 - Consolação, São Paulo - SP",4 Quartos,5 Banheiros,3 Vagas,"R$ 19.000 /mês
R$ 4.500.000",R$ 3.500,"Jardim
Acesso para deficientes
Elevador
Portaria 24h",São Paulo,"September 20, 2021 16:25"
521,100,"Jardim Paulista, São Paulo - SP",2 Quartos,3 Banheiros,2 Vagas,"R$ 8.500 /mês
R$ 1.720.000",R$ 1.270,"Piscina
Mobiliado
Churrasqueira
Elevador
Academia
...",São Paulo,"September 20, 2021 16:25"
522,92,"Alameda Itu, 265 - Jardim Paulista, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 4.700 /mês,R$ 1.250,,São Paulo,"September 20, 2021 16:25"
523,106,"Rua Vieira de Almeida, 550 - Ipiranga, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 5.300 /mês,R$ 911,"Piscina
Churrasqueira
Elevador
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
524,102,"Rua Harmonia, 722 - Sumarezinho, São Paulo - SP",3 Quartos,3 Banheiros,10 Vagas,R$ 3.500 /mês,R$ 1.425,"Piscina
Elevador
Varanda
Academia
Jardim
...",São Paulo,"September 20, 2021 16:25"
525,63,"Rua Pintassilgo - Moema, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.800 /mês,R$ 974,"Piscina
Condomínio fechado
Varanda
Academia
Jardim
...",São Paulo,"September 20, 2021 16:25"
526,44,"Rua Artur Prado, 123 - Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.900 /mês,R$ 466,"Piscina
Churrasqueira
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
527,103,"Consolação, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 2.300 /mês,R$ 408,,São Paulo,"September 20, 2021 16:25"
528,40,"Rua Bela Cintra, 359 - Consolação, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.400 /mês,R$ 635,"Circuito de segurança
Elevador
Conexão à internet
Área de serviço
Varanda",São Paulo,"September 20, 2021 16:25"
529,51,"Rua Américo Brasiliense, 1025 - Chácara Santo Antônio, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.800 /mês,R$ 620,,São Paulo,"September 20, 2021 16:25"
530,62,"Rua Doutor Mário Vicente, 1416 - Ipiranga, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,"R$ 3.600 /mês
R$ 805.200",R$ 560,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 16:25"
531,114,"Avenida Santo Amaro - Brooklin, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 3.800 /mês,R$ 1.250,"Piscina
Elevador
Condomínio fechado
Varanda
Academia
...",São Paulo,"September 20, 2021 16:25"
532,137,"Rua Pinto Gonçalves, 85 - Perdizes, São Paulo - SP",3 Quartos,5 Banheiros,3 Vagas,R$ 6.500 /mês,R$ 1.900,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
533,26,"Avenida Duque de Caxias - Santa Cecília, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.680 /mês,R$ 260,"Piscina
Mobiliado
Churrasqueira
Varanda
Escritório
...",São Paulo,"September 20, 2021 16:25"
534,40,"Avenida Cidade Jardim, 411 - Itaim Bibi, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.578 /mês,R$ 1.009,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
535,50,"Rua Leopoldo Couto Magalhães Júnior - Itaim Bibi, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.400 /mês,R$ 850,"Piscina
Churrasqueira
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
536,36,"Rua Michigan - Brooklin, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.400 /mês,R$ 420,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:25"
537,65,"Rua Padre Raposo, 545 - Móoca, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 450,"Mobiliado
Elevador
Academia
Aceita animais
Playground
...",São Paulo,"September 20, 2021 16:25"
538,34,"Rua Genebra, 197 - Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 472,"Piscina
Mobiliado
Churrasqueira
Elevador
Varanda
...",São Paulo,"September 20, 2021 16:25"
539,37,"Rua Luís Correia de Melo, 0 - Chácara Santo Antônio, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 532,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
540,237,"Rua Pedroso Alvarenga, 198 - Itaim Bibi, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,"R$ 15.000 /mês
R$ 3.800.000",R$ 5.150,"Elevador
Condomínio fechado
Academia
Aceita animais
Ar-condicionado
...",São Paulo,"September 20, 2021 16:25"
541,60,"Rua Ministro Ferreira Alves, 330 - Perdizes, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.700 /mês,R$ 500,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:25"
542,45,"Rua Joaquim Espinosa, 145 - Jardim São Luís, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 1.000 /mês,,Aceita animais,São Paulo,"September 20, 2021 16:25"
543,70,"Rua João de Lacerda Soares, 133 - Brooklin, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.200 /mês,R$ 897,"Elevador
Condomínio fechado
Área de serviço
Móvel planejado
Salão de festas
...",São Paulo,"September 20, 2021 16:25"
544,29,"Avenida Nove de Julho, 1510 - Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.300 /mês,R$ 440,Armário embutido no quarto,São Paulo,"September 20, 2021 16:25"
545,54,"Jardins, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,"R$ 2.800 /mês
R$ 700.000",R$ 1.037,"Piscina
Interfone
Mobiliado
Armário na cozinha
Área de serviço",São Paulo,"September 20, 2021 16:25"
546,72,"Avenida Miguel Estefno, 784 - Saúde, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 3.300 /mês,R$ 1.040,"Piscina
Churrasqueira
Academia
Salão de festas
Salão de jogos
...",São Paulo,"September 20, 2021 16:25"
547,230,"Rua Flórida, 1901 - Brooklin, São Paulo - SP",4 Quartos,6 Banheiros,3 Vagas,"R$ 20.000 /mês
R$ 4.000.000",R$ 3.000,"Piscina
Elevador
Academia
Espaço gourmet
Jardim
...",São Paulo,"September 20, 2021 16:25"
548,59,"Rua Ivaí, 207 - Tatuapé, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.600 /mês,R$ 500,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
549,96,"Rua Paulo Franco, 114 - Vila Hamburguesa, São Paulo - SP",2 Quartos,4 Banheiros,2 Vagas,"R$ 3.600 /mês
R$ 960.000",R$ 1.090,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
550,130,"Rua Pedroso Alvarenga, 271 - Itaim Bibi, São Paulo - SP",3 Quartos,4 Banheiros,3 Vagas,"R$ 8.900 /mês
R$ 2.400.000",R$ 1.900,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
551,98,"Avenida Doutor Altino Arantes, 895 - Vila Clementino, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.850 /mês,R$ 908,"Mobiliado
Elevador
Condomínio fechado
Academia
Espaço gourmet
...",São Paulo,"September 20, 2021 16:25"
552,35,"Brooklin, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.200 /mês,R$ 325,"Piscina
Mobiliado
Churrasqueira
Elevador
Varanda
...",São Paulo,"September 20, 2021 16:25"
553,62,"Rua Muniz de Sousa, 736 - Aclimação, São Paulo - SP",2 Quartos,1 Banheiro,-- Vaga,R$ 1.800 /mês,R$ 388,,São Paulo,"September 20, 2021 16:25"
554,110,"Chácara Klabin, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 3.400 /mês,R$ 880,"Academia
Jardim
Playground
Salão de festas
Armário embutido
...",São Paulo,"September 20, 2021 16:25"
555,95,"Rua Bagé, 230 - Vila Mariana, São Paulo - SP",3 Quartos,3 Banheiros,1 Vaga,R$ 3.300 /mês,R$ 901,"Piscina
Elevador
Academia
Aceita animais
Jardim
...",São Paulo,"September 20, 2021 16:25"
556,100,"Rua Adele, 119 - Santo Amaro, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 3.700 /mês,R$ 980,"Piscina
Churrasqueira
Elevador
Varanda
Jardim
...",São Paulo,"September 20, 2021 16:25"
557,31,"Praça Cassiano Nogueira, 28 - Vila Mariana, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.335 /mês,R$ 511,"Ar-condicionado
Cozinha
Elevador
Varanda
Gerador elétrico",São Paulo,"September 20, 2021 16:25"
558,125,"Rua Abílio Soares, 537 - Paraíso, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.300 /mês,R$ 1.300,"Churrasqueira
Condomínio fechado
Aceita animais
Jardim
Área de serviço
...",São Paulo,"September 20, 2021 16:25"
559,34,"Rua Desembargador Guimarães, 92 - Perdizes, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.100 /mês,R$ 780,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
560,43,"Rua Afonso de Freitas - Paraíso, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.600 /mês,R$ 720,"Churrasqueira
Elevador
Academia
Lavanderia
Salão de jogos
...",São Paulo,"September 20, 2021 16:25"
561,70,"Rua do Arraial - Vila Mariana, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.400 /mês,R$ 655,"Churrasqueira
Academia
Salão de festas
Quadra poliesportiva
Salão de jogos
...",São Paulo,"September 20, 2021 16:25"
562,80,"Rua Sargento Osvaldo - Vila Zilda Tatuape, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.650 /mês,R$ 693,"Churrasqueira
Elevador
Garagem
Área de serviço
Playground
...",São Paulo,"September 20, 2021 16:25"
563,110,"Alameda Franca - Jardins, São Paulo - SP",3 Quartos,3 Banheiros,1 Vaga,R$ 4.500 /mês,R$ 1.445,"Elevador
Academia
Espaço gourmet
Jardim
Área de serviço
...",São Paulo,"September 20, 2021 16:25"
564,91,"Rua Vitório Ramalho, 122 - Tatuapé, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 4.700 /mês,R$ 850,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
565,189,"Rua da Mata, 194 - Itaim Bibi, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,R$ 9.985 /mês,R$ 3.490,"Closet
Ar-condicionado
Lareira",São Paulo,"September 20, 2021 16:25"
566,50,"Jardim Paulista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.300 /mês,R$ 700,,São Paulo,"September 20, 2021 16:25"
567,152,"Praça Louveira, 51 - Tatuapé, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,"R$ 5.500 /mês
R$ 1.290.000",R$ 1.000,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 16:25"
568,44,"Praça dos Omaguás, 937 - Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.800 /mês,R$ 1.000,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:25"
569,87,"Avenida Macuco, 518 - Moema, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 3.500 /mês,R$ 899,"Piscina
Elevador
Condomínio fechado
Varanda
Academia
...",São Paulo,"September 20, 2021 16:25"
570,96,"Rua Martiniano de Carvalho, 141 - Bela Vista, São Paulo - SP",3 Quartos,2 Banheiros,-- Vaga,R$ 2.700 /mês,R$ 900,"Portão eletrônico
Aceita animais
Cozinha americana
Mobiliado",São Paulo,"September 20, 2021 16:25"
571,52,"Rua Jaracatia, 165 - Campo Limpo, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 420,"Churrasqueira
Elevador
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
572,44,"Brooklin, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.300 /mês,R$ 628,"Piscina
Churrasqueira
Varanda
Área de serviço
Salão de festas
...",São Paulo,"September 20, 2021 16:25"
573,37,"Rua Doutor Lund, 22 - Liberdade, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.200 /mês,R$ 334,"Elevador
Condomínio fechado
Varanda
Aceita animais
Área de serviço
...",São Paulo,"September 20, 2021 16:25"
574,48,"Rua Alagoas, 974 - Higienópolis, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.500 /mês,R$ 1.700,"Piscina
Mobiliado
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
575,134,"Alameda Ministro Rocha Azevedo, 38 - Jardins, São Paulo - SP",2 Quartos,3 Banheiros,2 Vagas,"R$ 18.000 /mês
R$ 4.100.000",R$ 2.350,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:25"
576,95,"Avenida Cotovia - Moema, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,"R$ 3.800 /mês
R$ 1.280.000",R$ 1.100,"Varanda
Ar-condicionado
Área de serviço
Armário na cozinha
Interfone
...",São Paulo,"September 20, 2021 16:25"
577,70,"Rua Deputado Joaquim Libânio, 55 - Vila Mariana, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 2.700 /mês,R$ 1.000,"Piscina
Churrasqueira
Elevador
Varanda
Academia
...",São Paulo,"September 20, 2021 16:25"
578,56,"Avenida Cipriano Rodrigues - Vila Formosa, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.250 /mês,R$ 400,"Churrasqueira
Elevador
Interfone
Quadra poliesportiva
Varanda",São Paulo,"September 20, 2021 16:25"
579,104,"Rua Marcos Lopes - Vila Nova Conceição, São Paulo - SP",1 Quarto,2 Banheiros,2 Vagas,R$ 11.500 /mês,R$ 1.480,"Piscina
Mobiliado
Churrasqueira
Ar-condicionado
Jardim
...",São Paulo,"September 20, 2021 16:25"
580,171,"Rua Canário - Moema, São Paulo - SP",2 Quartos,4 Banheiros,3 Vagas,"R$ 18.349 /mês
R$ 3.430.000",R$ 3.390,"Piscina
Mobiliado
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 16:25"
581,97,"Vila Madalena, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,"R$ 2.800 /mês
R$ 980.000",R$ 930,"Churrasqueira
Academia
Área de serviço
Playground
Salão de festas
...",São Paulo,"September 20, 2021 16:25"
582,85,"Alameda Jaú, 740 - Jardim Paulista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.200 /mês,R$ 1.418,"Academia
Salão de festas
Ar-condicionado",São Paulo,"September 20, 2021 16:25"
583,60,"Rua Caio Prado, 207 - Consolação, São Paulo - SP",2 Quartos,2 Banheiros,-- Vaga,R$ 1.450 /mês,R$ 700,Portaria 24h,São Paulo,"September 20, 2021 16:25"
584,90,"Avenida do Cursino - Vila Gumercindo, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 1.900 /mês,R$ 780,"Quadra poliesportiva
Interfone
Armário na cozinha
Escritório
Área de serviço",São Paulo,"September 20, 2021 16:25"
585,78,"Alameda Casa Branca - Jardim Paulista, São Paulo - SP",2 Quartos,2 Banheiros,-- Vaga,R$ 3.000 /mês,,"Mobiliado
Jardim
Salão de festas
Armário na cozinha
Lavanderia
...",São Paulo,"September 20, 2021 16:25"
586,37,"Rua Doutor João Clímaco Pereira, 65 - Itaim Bibi, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.500 /mês,R$ 920,"Piscina
Mobiliado
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 16:25"
587,39,"Rua Agostinho Gomes, 851 - Ipiranga, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.700 /mês,R$ 300,"Mobiliado
Quadra poliesportiva
Salão de festas",São Paulo,"September 20, 2021 16:25"
588,42,"Rua São Domingos, 85 - Bela Vista, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.750 /mês,R$ 375,"Churrasqueira
Elevador
Aceita animais
Jardim
Bicicletário
...",São Paulo,"September 20, 2021 16:25"
589,144,"Avenida Aratãs - Moema, São Paulo - SP",4 Quartos,4 Banheiros,2 Vagas,R$ 5.700 /mês,R$ 1.640,"Piscina
Churrasqueira
Elevador
Academia
Garagem
...",São Paulo,"September 20, 2021 16:25"
590,195,"Alameda Gabriel Monteiro da Silva - Jardim América, São Paulo - SP",4 Quartos,4 Banheiros,2 Vagas,R$ 5.000 /mês,R$ 3.146,"Piscina
Elevador
Condomínio fechado
Academia
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
591,55,"Rua Corinto, 543 - Vila Indiana, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.700 /mês,R$ 562,"Piscina
Elevador
Condomínio fechado
Varanda
Academia
...",São Paulo,"September 20, 2021 16:25"
592,300,"Rua Maratona - Vila Alexandria, São Paulo - SP",4 Quartos,5 Banheiros,3 Vagas,R$ 3.000 /mês,R$ 2.500,"Piscina
Varanda
Academia
Espaço gourmet
Área de serviço
...",São Paulo,"September 20, 2021 16:25"
593,133,"Rua General Lecor, 405 - Ipiranga, São Paulo - SP",2 Quartos,3 Banheiros,2 Vagas,R$ 6.300 /mês,R$ 1.500,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:25"
594,160,"Viaduto Paraíso - Paraíso, São Paulo - SP",3 Quartos,3 Banheiros,2 Vagas,R$ 3.000 /mês,R$ 1.350,"Elevador
Garagem
Área de serviço
Salão de festas
Cozinha
...",São Paulo,"September 20, 2021 16:25"
595,47,"Rua João Pereira Santos, 151 - Jardim Germania, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.000 /mês,R$ 25,"Condomínio fechado
Aceita animais
Bicicletário
Portaria 24h
Lavanderia
...",São Paulo,"September 20, 2021 16:25"
596,54,"Rua Serra de Botucatu, 2627 - Chácara Califórnia, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 1.500 /mês,R$ 480,"Piscina
Churrasqueira
Academia
Aceita animais
Espaço gourmet
...",São Paulo,"September 20, 2021 16:25"
597,65,"Rua Professor Ciridião Buarque, 96 - Pompeia, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 3.350 /mês,R$ 810,"Piscina
Churrasqueira
Varanda
Ar-condicionado
Área de serviço
...",São Paulo,"September 20, 2021 16:25"
598,125,"Rua Guarará - Jardim Paulista, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 5.700 /mês,R$ 1.250,"Churrasqueira
Condomínio fechado
Academia
Aceita animais
Espaço gourmet
...",São Paulo,"September 20, 2021 16:25"
599,34,"Campo Belo, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.000 /mês,R$ 425,"Mobiliado
Churrasqueira
Ar-condicionado
Salão de festas
Lavanderia
...",São Paulo,"September 20, 2021 16:25"
600,115,"Rua Nebraska - Brooklin, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 2.300 /mês,R$ 1.552,"Interfone
Armário na cozinha
Área de serviço",São Paulo,"September 20, 2021 16:25"
601,137,"Rua Itacema, 291 - Itaim Bibi, São Paulo - SP",3 Quartos,2 Banheiros,1 Vaga,R$ 4.500 /mês,R$ 1.361,"Condomínio fechado
Elevador
Portão eletrônico
Portaria 24h
Salão de festas",São Paulo,"September 20, 2021 16:25"
602,82,"Avenida Professor Francisco Morato, 4880 - Vila Sônia, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 3.000 /mês,R$ 870,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",São Paulo,"September 20, 2021 16:25"
603,55,"Vila Santa Catarina, São Paulo - SP",2 Quartos,1 Banheiro,2 Vagas,R$ 1.100 /mês,R$ 655,"Elevador
Condomínio fechado
Garagem
Área de serviço
Salão de festas
...",São Paulo,"September 20, 2021 16:25"
604,31,"Praça Cassiano Nogueira, 28 - Vila Mariana, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 2.335 /mês,R$ 511,"Ar-condicionado
Cozinha
Elevador
Varanda
Gerador elétrico",São Paulo,"September 20, 2021 16:25"
605,28,"Rua Professor Aprígio Gonzaga, 351 - Saúde, São Paulo - SP",1 Quarto,1 Banheiro,-- Vaga,R$ 1.550 /mês,R$ 100,"Mobiliado
Condomínio fechado
Aceita animais
Área de serviço
Armário embutido
...",São Paulo,"September 20, 2021 16:25"
606,254,"Avenida Portugal - Brooklin, São Paulo - SP",4 Quartos,5 Banheiros,3 Vagas,R$ 10.000 /mês,R$ 2.280,"Piscina
Elevador
Academia
Aceita animais
Espaço gourmet
...",São Paulo,"September 20, 2021 16:25"
607,49,"Rua Antônio de Macedo Soares, 848 - Campo Belo, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.300 /mês,R$ 575,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:25"
608,80,"Rua José Antônio Coelho, 889 - Vila Mariana, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,R$ 2.200 /mês,R$ 588,"Salão de festas
Elevador",São Paulo,"September 20, 2021 16:25"
609,34,"Avenida Santa Catarina, 2680 - Vila Mascote, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 1.200 /mês,R$ 457,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Aceita animais
...",São Paulo,"September 20, 2021 16:25"
610,66,"Vila Mariana, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,R$ 2.500 /mês,R$ 981,"Portaria 24h
Salão de festas
Piscina
Quadra poliesportiva",São Paulo,"September 20, 2021 16:25"
611,200,"Avenida Juriti - Vila Uberabinha, São Paulo - SP",4 Quartos,3 Banheiros,3 Vagas,"R$ 9.000 /mês
R$ 2.100.000",R$ 4.100,"Piscina
Elevador
Garagem
Jardim
Playground
...",São Paulo,"September 20, 2021 16:25"
612,141,"Rua Dom Mateus - Ipiranga, São Paulo - SP",3 Quartos,5 Banheiros,3 Vagas,R$ 9.000 /mês,,"Piscina
Churrasqueira
Elevador
Jardim
Playground
...",São Paulo,"September 20, 2021 16:25"
613,40,"Pinheiros, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 3.410 /mês,R$ 857,"Piscina
Varanda
Ar-condicionado
Salão de festas
Interfone
...",São Paulo,"September 20, 2021 16:25"
614,75,"Rua Espírito Santo - Aclimação, São Paulo - SP",2 Quartos,1 Banheiro,2 Vagas,R$ 2.600 /mês,R$ 709,"Piscina
Churrasqueira
Elevador
Varanda
Área de serviço
...",São Paulo,"September 20, 2021 16:25"
615,200,"Rua Nebraska - Itaim Bibi, São Paulo - SP",3 Quartos,3 Banheiros,3 Vagas,"R$ 5.000 /mês
R$ 1.430.000",R$ 2.800,"Armário na cozinha
Copa
Área de serviço",São Paulo,"September 20, 2021 16:25"
616,70,"Rua Gastão do Rego Monteiro - Jardim Bonfiglioli, São Paulo - SP",3 Quartos,3 Banheiros,1 Vaga,R$ 2.000 /mês,R$ 700,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",São Paulo,"September 20, 2021 16:25"
617,76,"Avenida Miguel Frias e Vasconcelos, 756 - Jaguaré, São Paulo - SP",2 Quartos,2 Banheiros,2 Vagas,R$ 2.700 /mês,R$ 890,"Piscina
Churrasqueira
Academia
Salão de festas
Quadra de tênis
...",São Paulo,"September 20, 2021 16:25"
618,117,"Rua Carlos Weber, 1288 - Vila Leopoldina, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,R$ 3.790 /mês,R$ 1.100,"Playground
Salão de festas
Área de serviço",São Paulo,"September 20, 2021 16:25"
619,51,"Avenida Santa Catarina - Vila Santa Catarina, São Paulo - SP",2 Quartos,1 Banheiro,1 Vaga,"R$ 1.300 /mês
R$ 330.000",R$ 660,"Piscina
Churrasqueira
Aceita animais
Espaço gourmet
Jardim
...",São Paulo,"September 20, 2021 16:25"
620,69,"Rua Casa do Ator, 435 - Vila Olímpia, São Paulo - SP",2 Quartos,2 Banheiros,1 Vaga,"R$ 3.000 /mês
R$ 850.000",R$ 748,"Elevador
Aceita animais
Jardim
Salão de festas
Bicicletário
...",São Paulo,"September 20, 2021 16:25"
621,130,"Rua Afonso Braz, 537 - Vila Nova Conceição, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,R$ 8.500 /mês,R$ 1.415,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",São Paulo,"September 20, 2021 16:25"
622,132,"Brooklin, São Paulo - SP",3 Quartos,4 Banheiros,2 Vagas,R$ 11.000 /mês,R$ 1.220,,São Paulo,"September 20, 2021 16:25"
623,50,"Rua Funchal, 449 - Vila Olímpia, São Paulo - SP",1 Quarto,1 Banheiro,1 Vaga,R$ 4.500 /mês,,"Academia
Elevador
Ar-condicionado
Mobiliado",São Paulo,"September 20, 2021 16:25"
624,73,"Rua Angustura - Jardim da Saude, São Paulo - SP",3 Quartos,2 Banheiros,2 Vagas,"R$ 2.700 /mês
R$ 750.000",R$ 744,"Piscina
Churrasqueira
Varanda
Quintal
Área de serviço
...",São Paulo,"September 20, 2021 16:25"
625,130,"Rua Itacema, 331 - Itaim Bibi, São Paulo - SP",3 Quartos,3 Banheiros,-- Vaga,R$ 5.000 /mês,R$ 1.770,"Condomínio fechado
Aceita animais
Área de serviço
Salão de festas
Portaria 24h
...",São Paulo,"September 20, 2021 16:25"
